id_cliente,nombre,empresa,industria,email,telefono,tamano_empresa,ingresos_anuales,presupuesto_TI,interes_producto,region
92,Liliana,"Bravo, Valdivia y Guerra",Manufactura,juande-la-o@corporacin.info,126-464-7154,Pequeña,149242,11430,Alto,Michoacán de Ocampo
93,Elsa,Carbajal y Cervántez S.A. de C.V.,Manufactura,ortizisabela@mendoza.biz,924-593-7526x54793,Pequeña,70866,5937,Medio,Puebla
94,Laura,Carrera-Valle S.A.,Salud,paulinaamador@fuentes.com,1-167-243-4266x17979,Mediana,924703,46156,Medio,Sonora
95,Lourdes,Murillo e Hijos,Salud,cardonafelix@de.biz,1-610-143-8889,Grande,5011167,248489,Bajo,México
96,Rolando,Corporacin Alvarado-Rosas,Manufactura,lucerolinda@carrillo-collado.com,(573)875-7177,Grande,8250957,852190,Medio,Puebla
97,Camila,Montalvo e Hijos,Educación,de-andafederico@industrias.net,(736)226-6093x796,Grande,8338241,806700,Bajo,Sinaloa
98,Ernesto,Corporacin Barajas y Vélez,Salud,teraneduardo@melgar-estrada.com,785-969-6915,Mediana,269970,15249,Alto,Quintana Roo
99,Zacarías,"Industrias Villanueva, Bravo y Cervantes",Salud,caridad34@elizondo-nino.com,669-296-6278x2827,Mediana,1313278,146231,Alto,Nuevo León
100,María del Carmen,Muñoz A.C.,Educación,mchacon@valenzuela.biz,(767)721-9034x04384,Pequeña,69143,6390,Medio,Guanajuato
101,Raúl,Ulloa y Segura A.C.,Manufactura,jassopamela@torres-arguello.info,(361)340-7451x7133,Grande,3036737,172664,Bajo,Quintana Roo
102,Luis Miguel,Industrias Chávez-Fonseca,Salud,ana-mariavargas@tejada-leon.net,(544)948-1260,Pequeña,172410,9103,Bajo,Nayarit
103,César,Grupo Medina y Gutiérrez,Retail,jsaiz@laboratorios.com,168-457-7590x17518,Pequeña,19754,2362,Alto,Sonora
104,Gabriel,Limón-Miranda S. R.L. de C.V.,Educación,raulrubio@arriaga-arredondo.info,+12(7)7063242415,Grande,8226603,291651,Medio,Morelos
105,Daniel,Ortiz e Hijos,Finanzas,eugenia61@abreu-gallardo.info,02938700516,Mediana,1132594,119539,Alto,Distrito Federal
106,Augusto,Candelaria-Marroquín,Manufactura,helena26@laboratorios.net,1-092-753-2697x3112,Pequeña,42023,1225,Alto,Chihuahua
107,Juan Carlos,Portillo-Mascareñas y Asociados,Salud,fernandolebron@guzman-uribe.org,940.438.9836x4037,Pequeña,43010,1742,Bajo,Sinaloa
108,Rosario,Suárez-Alcala,Finanzas,ilse26@navarrete.info,00910430068,Mediana,503432,37264,Alto,Nuevo León
109,Mónica,"Piña, Padilla y Borrego",Retail,germanbotello@despacho.net,1-691-463-0316,Pequeña,164364,3546,Medio,Chihuahua
110,Víctor,Despacho Alcala-Chapa,Tecnología,davilamiriam@solorzano-sierra.com,(524)105-6481,Grande,6980031,455101,Alto,Morelos
111,Nayeli,Baca-Sanabria y Asociados,Educación,jose-carloscotto@proyectos.com,800.030.7562x20863,Mediana,1093960,33689,Bajo,Puebla
112,Araceli,Casares-Sandoval e Hijos,Salud,duarteesparta@pacheco.info,(451)870-5349,Grande,6910394,630333,Medio,Oaxaca
113,Miguel,Laboratorios Treviño y Guillen,Finanzas,abrahamparra@gonzales.com,050-641-3836x70241,Grande,9260275,583462,Alto,Baja California Sur
114,Liliana,Reynoso-Bravo S. R.L. de C.V.,Retail,santiagocecilia@benavidez.com,(234)456-5574x313,Grande,4138170,477376,Bajo,Distrito Federal
115,Rocío,Cortés-Caraballo,Finanzas,maria-del-carmenrobledo@palomo-casarez.com,1-747-411-2490,Pequeña,107687,8145,Bajo,Jalisco
116,Itzel,Despacho Guzmán-Moya,Manufactura,dserna@corporacin.info,(831)712-1003x2365,Mediana,1595320,170394,Bajo,Colima
117,Antonio,Barragán S.A.,Educación,fcazares@casillas-arias.com,(966)706-6253,Pequeña,50561,3449,Alto,Guerrero
118,Conchita,Guillen e Hijos,Salud,modesto68@ballesteros.biz,638-380-6578,Grande,8437690,686467,Bajo,Zacatecas
119,Inés,"Jimínez, Dueñas y Alvarez",Retail,ruben30@despacho.org,213.348.0396,Grande,8395554,941592,Medio,Quintana Roo
120,Eva,Muñoz-Villareal A.C.,Finanzas,raquel92@proyectos.com,(701)039-3087,Grande,6450011,371646,Medio,Aguascalientes
121,Catalina,Díaz-Mejía A.C.,Finanzas,corderorodrigo@proyectos.com,05691545226,Pequeña,50784,4847,Alto,Zacatecas
122,Sessa,Garica-Villalpando y Asociados,Salud,jose-mariamaldonado@grupo.biz,1-029-593-9172x5135,Mediana,652080,20463,Medio,Puebla
123,Yuridia,Ramón-Alba S.A. de C.V.,Tecnología,felixbarreto@hidalgo-cardenas.com,+67(6)2676586179,Mediana,1456875,30257,Medio,México
124,Aldo,"Despacho Matos, Ibarra y Cantú",Finanzas,monroydavid@cruz.com,1-997-062-9620,Grande,5612596,184758,Bajo,Chiapas
125,Perla,"Laboratorios Lerma, Luevano y Granados",Manufactura,arroyolaura@corrales.com,(149)731-0324x171,Mediana,239303,26829,Medio,Oaxaca
126,Virginia,"Despacho Tovar, Ontiveros y Escalante",Salud,juana52@armendariz.info,349-021-1586,Mediana,560444,36994,Bajo,México
127,Julia,"Tello, Roldán y Vega",Tecnología,martinluna@ortega-aragon.net,1-899-217-2233x2061,Mediana,1298829,77379,Medio,Tamaulipas
128,Soledad,Proyectos Yáñez-Holguín,Salud,angel16@urias.net,1-099-861-6229x991,Grande,2956524,209899,Medio,Chiapas
129,Gonzalo,Partida-Jaime S.C.,Finanzas,mvazquez@archuleta.biz,996-065-3074,Mediana,613708,49243,Bajo,San Luis Potosí
130,Hugo,"Proyectos Salazar, Calvillo y Gil",Salud,helenaquintero@jimenez-pena.com,1-736-785-0821,Grande,7329268,383473,Bajo,Oaxaca
131,Ofelia,Delgadillo S.A.,Salud,ana-luisaharo@reyes.com,1-345-786-1035x79727,Pequeña,102259,2803,Medio,Quintana Roo
132,Francisco Javier,Linares-Amaya,Manufactura,karroyo@proyectos.com,680-072-2903,Grande,6253593,414432,Bajo,Morelos
133,Trinidad,"Club Ocampo, Montes y Rico",Finanzas,esteban74@viera.net,(589)944-1715x45444,Mediana,1251443,144882,Medio,Hidalgo
134,Ruby,"Maya, Cintrón y Alvarez",Salud,qlucero@palacios.org,1-935-387-5842x82417,Grande,6385128,229064,Medio,Distrito Federal
135,Dulce,Burgos-Garibay S.A. de C.V.,Manufactura,homeroperes@nieto-hurtado.com,1-170-999-1738x168,Grande,7690658,372340,Bajo,Oaxaca
136,Cornelio,Grupo Monroy-Parra,Retail,ucollazo@proyectos.com,250-074-3292x71296,Grande,3186387,162579,Bajo,Tamaulipas
137,Mateo,"Acuña, Archuleta y Tejeda",Educación,jose-luisalcaraz@tamez-espino.com,335-421-6894x21044,Grande,5159815,511679,Alto,Veracruz de Ignacio de la Llave
138,Cecilia,Saiz-Muñoz y Asociados,Finanzas,danielpaez@gil.com,1-098-215-0648,Mediana,847739,97589,Medio,Campeche
139,Bianca,Arriaga e Hijos,Salud,penamaria@castaneda.info,1-230-461-8499x26189,Pequeña,143087,14811,Bajo,Chihuahua
140,Bernabé,Farías y Feliciano y Asociados,Finanzas,octavio35@lucero.net,375.300.1197x218,Pequeña,52532,5417,Bajo,Coahuila de Zaragoza
141,Trinidad,Club Lucio y Jaime,Educación,garteaga@proyectos.com,(561)100-2255x79415,Mediana,1777878,174907,Alto,Querétaro
142,Leonor,Jurado y Olmos e Hijos,Retail,pperez@despacho.com,06979729659,Mediana,1168213,114265,Bajo,Baja California
143,Catalina,Saavedra y Carreón S.C.,Tecnología,earredondo@laboratorios.org,935.889.1637x56289,Grande,9837422,896583,Bajo,Campeche
144,Natalia,Saldivar y de Jesús A.C.,Finanzas,pmayorga@ledesma-arteaga.com,(663)177-9717x7517,Mediana,392337,39889,Medio,Baja California
145,Abel,Zayas-Maestas,Retail,vanesareyes@narvaez-ayala.com,1-589-975-7113x055,Pequeña,17389,1966,Bajo,Nuevo León
146,José Luis,Armenta-de Anda,Finanzas,tcintron@carbajal.com,06373516091,Mediana,1659768,159145,Medio,Tlaxcala
147,Rolando,Club Acuña-Tamez,Salud,uribemagdalena@sauceda.org,(216)995-8669,Pequeña,49195,5609,Bajo,Michoacán de Ocampo
148,Guadalupe,Cepeda y Chavarría S.C.,Manufactura,pascual58@grupo.com,(228)851-5879x96846,Pequeña,72505,6082,Bajo,Aguascalientes
149,Yuridia,Feliciano S.A. de C.V.,Retail,gonzalohenriquez@proyectos.com,(057)198-3863x8406,Grande,3204409,201633,Bajo,Sinaloa
150,Humberto,Alcántar e Hijos,Salud,eloy97@laboratorios.net,933.472.1228x16064,Mediana,341933,25442,Bajo,Morelos
151,Rocío,"Despacho Menéndez, Robledo y Correa",Educación,corralesirene@madera.org,(515)832-8182x6886,Mediana,731943,15827,Alto,Colima
152,Ernesto,Meraz-Muro S.A. de C.V.,Retail,serafintamez@valentin.com,1-399-305-6164x840,Grande,8347482,278313,Medio,San Luis Potosí
153,Alvaro,"Laboratorios Espinoza, Mayorga y Serrano",Manufactura,calderadaniela@barraza.com,(613)861-2075x01102,Grande,8511156,201700,Alto,Morelos
154,Esperanza,"Club Oquendo, Raya y Palacios",Tecnología,bmata@casanova.org,09015814491,Mediana,731237,69708,Alto,Nuevo León
155,Leonardo,Rojo S.A.,Educación,celiaornelas@laboratorios.com,(821)009-9688x1435,Mediana,1038906,66462,Medio,Jalisco
156,Claudia,Grupo García-Hernádez,Tecnología,camiladuran@ulloa.net,04141397552,Grande,5560961,350678,Alto,Michoacán de Ocampo
157,Silvano,Esquibel-Matías,Retail,vraya@laboratorios.org,562.053.3645,Grande,4480007,289370,Bajo,Distrito Federal
158,Mauro,Ramírez y Muñoz y Asociados,Retail,micaela81@laboratorios.com,834-110-8099,Grande,5648545,474178,Alto,Sonora
159,Alejandro,"Industrias Tirado, Rodríquez y Córdova",Educación,julio-cesar39@grupo.com,580-392-8272x299,Pequeña,169271,16610,Alto,Durango
160,Jorge,Gaona y Asociados,Finanzas,egomez@corporacin.net,677.005.1844,Pequeña,168621,14822,Medio,Guerrero
161,Josefina,Sierra-Heredia,Educación,hgarica@morales.info,082.723.1843x2225,Mediana,859314,41134,Alto,Chihuahua
162,Camila,Roque y Roque S.A.,Finanzas,vicentepartida@guerrero.com,1-922-809-2024x2869,Grande,5743610,687145,Medio,Baja California
163,Virginia,"Despacho Gálvez, Rangel y Zepeda",Manufactura,krosario@proyectos.com,1-298-425-7991x3662,Pequeña,197005,23586,Bajo,Chiapas
164,Octavio,"Cornejo, Zelaya y Caldera",Retail,martinzapata@tapia.com,07298068650,Grande,4435735,466356,Bajo,Tamaulipas
165,Mauricio,"Montez, Villalpando y Velásquez",Manufactura,pizarrocecilia@club.org,(643)009-8180x6356,Pequeña,72058,1630,Bajo,San Luis Potosí
166,Uriel,"Corporacin Tello, Piña y Vallejo",Manufactura,sara46@club.info,(588)744-9562,Pequeña,91078,10925,Bajo,Chihuahua
167,Benito,Industrias Pacheco y Mireles,Salud,cruzjulio@bustos.com,961.143.5190x669,Mediana,1626291,88553,Bajo,Nuevo León
168,Delia,Quiñones y Alarcón S.A.,Finanzas,eloisa09@industrias.com,021.465.6693,Pequeña,89724,3247,Bajo,Aguascalientes
169,Ángela,Ulloa-Linares,Salud,javier43@club.com,268-181-8451,Pequeña,176476,8372,Bajo,Morelos
170,Margarita,"Valladares, Roybal y Guerrero",Educación,maria-jose79@rosario.com,06335658804,Grande,7238511,797684,Medio,Michoacán de Ocampo
171,Leonor,Benítez-Urrutia S.A.,Finanzas,wmartinez@industrias.com,333.433.3395x211,Mediana,1565518,151379,Medio,Colima
172,Patricia,Rosario S.A. de C.V.,Tecnología,miguel94@elizondo.biz,920.867.8085,Mediana,1151150,102292,Alto,Sonora
173,Delia,Casárez y Sisneros S.C.,Educación,abril03@vera.com,428.434.7955x2763,Pequeña,91941,4774,Medio,Tabasco
174,Gilberto,Dueñas y Vázquez S.A.,Finanzas,benitojiminez@industrias.com,270-267-2885,Mediana,1142871,38957,Alto,Zacatecas
175,Raquel,Otero A.C.,Retail,ana-mariagalvan@club.com,588.450.6159,Grande,8049263,313787,Alto,Hidalgo
176,Pablo,Proyectos Linares-Mota,Manufactura,zacarias87@berrios.com,1-225-699-6112x535,Mediana,1259993,147001,Alto,Puebla
177,Salma,"Juárez, Rael y Naranjo",Tecnología,kpedraza@proyectos.com,(413)261-1178x00681,Mediana,1325522,138805,Medio,Chiapas
178,Julio,"Grupo Gutiérrez, Limón y Quintero",Finanzas,cesarsoto@despacho.com,784.872.8299x796,Grande,6712861,377614,Medio,Oaxaca
179,Augusto,Manzanares y Navarrete S.C.,Retail,cristal40@solorzano.com,478.077.4064,Pequeña,113259,11268,Medio,México
180,Ramiro,"Ortega, Haro y Dávila",Educación,oochoa@despacho.org,1-448-463-1224x17974,Pequeña,45923,2447,Medio,Zacatecas
181,Agustín,Despacho Lerma-Jiménez,Educación,marcelaaguilera@despacho.info,1-564-757-0512,Mediana,1492895,155649,Bajo,Campeche
182,Mariano,Grupo Henríquez-Olivárez,Educación,casasfelix@quintero.com,1-183-764-5208x814,Mediana,894659,27699,Medio,Yucatán
183,Elvia,Ávila-Gamez A.C.,Educación,taniapuente@alejandro-de.com,1-163-009-7925x1327,Mediana,756857,74391,Bajo,Colima
184,Ana María,Moya e Hijos,Finanzas,omarcarbajal@club.net,573-065-2407x78487,Pequeña,188448,4363,Bajo,Hidalgo
185,Irene,Laureano y Zamudio y Asociados,Manufactura,angelatamez@club.net,708.620.9593,Grande,3710367,260400,Bajo,Puebla
186,Pablo,"Espinal, Soria y Salinas",Educación,saraleyva@parra-medina.com,102-203-1731x0967,Grande,4726713,320646,Medio,Morelos
187,Angélica,Frías e Hijos,Finanzas,dbetancourt@muro.biz,094.801.4138,Grande,6061597,701531,Medio,Chiapas
188,Judith,Grupo Sotelo y Guzmán,Salud,porfiriovaldez@caraballo.info,1-612-286-8528x97558,Mediana,931493,105603,Bajo,Puebla
189,Irene,Industrias Trejo y Gallegos,Educación,vurbina@corporacin.com,049.082.4043x35048,Pequeña,85400,2382,Medio,Durango
190,Jonás,Grupo Jaimes-Navarro,Educación,eugeniahidalgo@despacho.com,157.279.1940x96105,Mediana,1378637,65019,Alto,Quintana Roo
191,Lorena,Gaytán-Zarate,Finanzas,olivasana@industrias.org,583-206-7998,Pequeña,177233,4474,Medio,Colima
